STATE,2017 total births,Home num,home/tot10kratio
ALABAMA,58941,182,31
ARIZONA,81872,706,86
ARKANSAS,37520,292,78
CALIFORNIA,471658,3520,75
COLORADO,64658,1040,161
CONNECTICUT,35221,212,60
DELAWARE,10855,83,76
DISTRICT OF COLUMBIA,9560,56,59
FLORIDA,223630,2020,90
GEORGIA,129243,822,64
IDAHO,22181,504,227
ILLINOIS,149390,784,52
INDIANA,82170,1354,165
IOWA,38430,489,127
KANSAS,36519,449,123
KENTUCKY,54752,641,117
LOUISIANA,61018,173,28
MAINE,12298,243,198
MARYLAND,71641,515,72
MASSACHUSETTS,70702,402,57
MICHIGAN,111426,1375,123
MINNESOTA,68595,972,142
MISSISSIPPI,37357,179,48
MISSOURI,73034,1164,159
MONTANA,11799,323,274
NEBRASKA,25821,90,35
NEVADA,35756,487,136
NEW HAMPSHIRE,12116,143,118
NEW JERSEY,101250,397,39
NEW MEXICO,23767,283,119
NEW YORK,229737,2339,102
NORTH CAROLINA,120125,642,53
NORTH DAKOTA,10737,123,115
OHIO,136832,1482,108
OKLAHOMA,50214,543,108
OREGON,43631,916,210
PENNSYLVANIA,137745,2611,190
RHODE ISLAND,10638,51,48
SOUTH CAROLINA,57029,406,71
SOUTH DAKOTA,12134,99,82
TENNESSEE,81016,785,97
TEXAS,382050,2378,62
UTAH,48585,993,204
VERMONT,5655,145,256
VIRGINIA,100391,878,87
WASHINGTON,87562,1877,214
WEST VIRGINIA,18675,125,67
WISCONSIN,64975,1366,210
WYOMING,6903,160,232